PACIFIC AV_WILLOW ST,33.804440,-118.193717
ATLANTIC AV_SOUTH ST,33.860074,-118.184923
WILLOW ST_PACIFIC AV,33.804440,-118.193717
ATLANTIC AV_10TH ST,33.778973,-118.185038
SOUTH ST_DOWNEY AV,33.860199,-118.151179
PACIFIC COAST HWY_SANTA FE AV,33.789800,-118.215409
BELLFLOWER BL_STEARNS ST,33.796022,-118.125239
ANAHEIM ST_OREGON AV,33.782695,-118.200995
ATLANTIC AV_HARDING ST,33.867323,-118.185201
BELLFLOWER BL_LOS COYOTES DIAGONAL,33.802141,-118.125195
PARAMOUNT BL_SOUTH ST,33.860173,-118.159958
PACIFIC COAST HWY_ORANGE AV,33.789854,-118.176289
ANAHEIM ST_WALNUT AV,33.782597,-118.171990
CHERRY AV_WARDLOW RD,33.818920,-118.167686
ATLANTIC AV_SPRING ST,33.811590,-118.185067
REDONDO AV_7TH ST,33.775338,-118.152417
PACIFIC COAST HWY_MAGNOLIA AV,33.789866,-118.198093
CHERRY AV_SOUTH ST,33.860106,-118.168614
7TH ST_CHANNEL DR,33.775220,-118.119009
7TH ST_WALNUT AV,33.775358,-118.172008
OCEAN BL_MAGNOLIA AV,33.767374,-118.197984
PACIFIC COAST HWY_PACIFIC AV,33.789847,-118.193724
7TH ST_PARK AV,33.775354,-118.137369
OCEAN BL_PINE AV,33.767096,-118.192407
ANAHEIM ST_LONG BEACH BL,33.782605,-118.189258
PACIFIC COAST HWY_OBISPO AV,33.789856,-118.154575
PACIFIC COAST HWY_STUDEBAKER RD,33.753819,-118.107230
BROADWAY_CHERRY AV,33.767286,-118.167896
7TH ST_ORANGE AV,33.775366,-118.176353
CARSON ST_CLARK AV,33.832368,-118.133854
OCEAN BL_LINDEN AV,33.766599,-118.186376
LAKEWOOD BL_OUTER TRAFFIC CIR,33.791542,-118.142661
