DAY,TIME,WEATHER,INTERSECTION
3,1728,A,PACIFIC COAST HWY_PINE AV
4,1425,A,SOUTH ST_DOWNEY AV
4,1140,A,ATLANTIC AV_SPRING ST
4,750,A,2ND ST_MARINA DR
2,1500,A,PACIFIC COAST HWY_HARBOR AV
4,1353,A,ANAHEIM ST_OBISPO AV
4,1656,A,PALO VERDE AV_STEARNS ST
5,731,A,CHERRY AV_PACIFIC COAST HWY
5,1625,A,OCEAN BL_PINE AV
5,825,A,6TH ST_ATLANTIC AV
5,1608,A,CHERRY AV_WARDLOW RD
5,1236,A,REDONDO AV_7TH ST
5,1637,A,7TH ST_PACIFIC COAST HWY
6,1534,A,LONG BEACH BL_PACIFIC COAST HWY
6,1435,A,LAKEWOOD BL_OUTER TRAFFIC CIR
1,2105,A,PACIFIC AV_PACIFIC COAST HWY
1,1626,A,PACIFIC COAST HWY_LEMON AV
3,1541,A,STUDEBAKER RD_WILLOW ST
4,1943,A,BROADWAY_CHERRY
5,1200,A,LONG BEACH BL_WARDLOW RD
5,1233,A,PACIFIC COAST HWY_CEDAR AV
7,1718,A,LAKEWOOD BL_OUTER TRAFFIC CIR
1,1217,A,LONG BEACH BL_ANAHEIM ST
2,1354,A,7TH ST_CHANNEL DR
3,810,A,PARAMOUNT BL_SOUTH ST
3,1900,A,BELLFLOWER BL_STEARNS ST
3,2119,A,ANAHEIM ST_CHERRY AV
4,1046,A,ATLANTIC AV_MARKET ST
4,930,D,LONG BEACH BL_WARDLOW RD
5,2322,A,PACIFIC COAST HWY_2ND ST
5,1517,A,PACIFIC COAST HWY_LONG BEACH BL
5,1812,A,PACIFIC COAST HWY_JUNIPERO AV
6,311,A,7TH ST_ATLANTIC AV
6,50,B,PACIFIC COAST HWY_ANAHEIM ST
6,917,A,TRAFFIC CIR_PACIFIC COAST HWY
7,1838,A,PACIFIC COAST HWY_PACIFIC AV
7,1843,B,PACIFIC COAST HWY_STUDEBAKER RD
2,815,A,7TH ST_REDONDO AV
2,917,A,LONG BEACH BL_10TH ST
2,1830,B,ATLANTIC AV_MARKET ST
3,746,A,ANAHEIM ST_ATLANTIC AV
3,1451,A,PACIFIC COAST HWY_JUNIPERO AV
4,804,A,PACIFIC COAST HWY_CHERRY AV
4,1553,A,ANAHEIM ST_LONG BEACH BL
4,1120,A,BELLFLOWER BL_ANAHEIM RD
5,2311,A,OCEAN BL_LINDEN AV
5,701,A,PACIFIC COAST HWY_JUNIPERO AV
5,1724,A,LAKEWOOD BL_SPRING ST
5,935,A,LONG BEACH BL_20TH ST
5,1009,A,LONG BEACH BL_ANAHEIM ST
6,1540,A,7TH ST_BELLFLOWER BL
7,1626,A,CHERRY AV_10TH ST
1,1254,A,BROADWAY_CHERRY
1,1740,A,LONG BEACH BL_PACIFIC COAST HWY
2,1221,A,ATLANTIC AV_MARKET ST
3,1510,A,7TH ST_XIMENO AV
4,1505,A,PACIFIC COAST HWY_MAGNOLIA AV
4,1042,B,ANAHEIM ST_PACIFIC AV
5,1455,A,PACIFIC COAST HWY_LONG BEACH BL
5,502,A,PACIFIC AV_WILLOW ST
7,1240,A,ANAHEIM ST_WALNUT AV
7,910,A,SOUTH ST_DOWNEY AV
7,15,A,7TH ST_XIMENO AV
7,1352,A,PACIFIC COAST HWY_STUDEBAKER RD
1,833,A,PACIFIC COAST HWY_CHERRY AV
1,2336,A,PACIFIC COAST HWY_PACIFIC AV
1,1230,A,LONG BEACH BL_WARDLOW RD
2,1433,A,PACIFIC COAST HWY_HARBOR AV
3,1551,C,PACIFIC COAST HWY_PINE AV
3,1314,A,ANAHEIM ST_ATLANTIC AV
4,1600,A,CHERRY AV_PACIFIC COAST HWY
5,1110,A,ANAHEIM ST_CHERRY AV
5,816,A,PACIFIC COAST HWY_7TH ST
5,1828,A,PACIFIC COAST HWY_CEDAR AV
5,1324,A,SPRING ST_PALO VERDE AV
5,1617,A,ANAHEIM ST_PACIFIC AV
5,1500,A,ANAHEIM ST_OBISPO AV
7,154,A,PACIFIC COAST HWY_ORANGE AV
7,701,A,PACIFIC COAST HWY_PACIFIC AV
2,10,A,PACIFIC COAST HWY_PACIFIC AV
2,1647,A,ANAHEIM ST_REDONDO AV
2,1500,A,PACIFIC COAST HWY_CHERRY AV
2,1611,A,7TH ST_CHANNEL DR
3,1540,A,ANAHEIM ST_PACIFIC AV
4,1610,A,TRAFFIC CIR_PACIFIC COAST HWY
5,1345,A,PACIFIC COAST HWY_MAGNOLIA AV
5,1846,A,7TH ST_OBISPO AV
6,106,A,7TH ST_CHERRY AV
7,1013,A,PACIFIC COAST HWY_OBISPO AV
1,1355,A,ANAHEIM ST_ORANGE AV
1,937,A,7TH ST_TERMINO AV
2,2002,A,WARDLOW RD_PACIFIC PL
2,1730,A,PACIFIC COAST HWY_LONG BEACH BL
4,1936,A,CHERRY AV_SOUTH ST
4,1441,A,ANAHEIM ST_ORANGE AV
4,1524,A,7TH ST_PARK AV
4,1700,A,LAKEWOOD BL_SPRING ST
4,911,A,SANTA FE AV_WILLOW ST
4,1213,A,LONG BEACH BL_ANAHEIM ST
4,1810,-,6TH ST_ATLANTIC AV
6,1115,A,7TH ST_OLIVE AV
6,1501,A,7TH ST_CHANNEL DR
6,1300,A,ATLANTIC AV_10TH ST
1,1650,A,LONG BEACH BL_WARDLOW RD
1,1853,A,PALO VERDE AV_STEARNS ST
2,1850,A,BROADWAY_CHERRY AV
2,1909,A,SOUTH ST_PARAMOUNT BL
2,1433,A,BELLFLOWER BL_STEARNS ST
2,100,A,ANAHEIM ST_LONG BEACH BL
3,1315,A,ATLANTIC AV_HARDING ST
4,1600,B,WARDLOW RD_LONG BEACH BL
6,1414,A,LAKEWOOD BL_OUTER TRAFFIC CIR
7,854,B,PACIFIC COAST HWY_MAGNOLIA AV
7,2011,A,LONG BEACH BL_PACIFIC COAST HWY
7,1920,A,LONG BEACH BL_ANAHEIM ST
1,640,B,PACIFIC COAST HWY_MAGNOLIA AV
1,1645,A,LONG BEACH BL_ANAHEIM ST
2,1702,A,LONG BEACH BL_WARDLOW RD
2,1804,A,BROADWAY_CHERRY AV
2,1117,B,WARDLOW RD_PACIFIC PL
2,1458,A,PACIFIC COAST HWY_JUNIPERO AV
3,1936,A,LAKEWOOD BL_OUTER TRAFFIC CIR
3,1800,B,PACIFIC AV_PACIFIC COAST HWY
4,1754,A,WARDLOW RD_PACIFIC PL
4,1355,B,PACIFIC COAST HWY_HARBOR AV
4,1205,A,WILLOW ST_PACIFIC AV
4,521,B,PACIFIC COAST HWY_HARBOR AV
5,1819,A,PACIFIC COAST HWY_WALNUT AV
5,1205,B,CHERRY AV_SOUTH ST
6,1127,B,LAKEWOOD BL_WILLOW ST
7,13,A,PARAMOUNT BL_SOUTH ST
7,1700,A,REDONDO AV_ANAHEIM ST
2,1645,A,LONG BEACH BL_WARDLOW RD
2,1600,A,PACIFIC COAST HWY_LEMON AV
3,1633,B,LAKEWOOD BL_OUTER TRAFFIC CIR
3,1700,A,PACIFIC COAST HWY_7TH ST
3,1605,A,ANAHEIM ST_TEMPLE AV
3,1831,A,CHERRY AV_PACIFIC COAST HWY
3,1140,A,CHERRY AV_PACIFIC COAST HWY
4,37,A,PACIFIC COAST HWY_ANAHEIM ST
4,1905,A,PARAMOUNT BL_SOUTH ST
5,2030,A,PACIFIC COAST HWY_ORANGE AV
5,556,B,OCEAN BL_MAGNOLIA AV
5,1015,A,ANAHEIM ST_PACIFIC AV
1,1602,A,LAKEWOOD BL_WILLOW ST
1,2039,A,PACIFIC COAST HWY_CHERRY AV
3,1500,A,7TH ST_LONG BEACH BL
3,1630,A,ANAHEIM ST_PACIFIC AV
5,1054,A,PACIFIC COAST HWY_JUNIPERO AV
5,823,A,PALO VERDE AV_STEARNS ST
6,1950,A,7TH ST_OLIVE AV
7,2337,A,PACIFIC COAST HWY_CEDAR AV
7,1234,A,PACIFIC COAST HWY_SANTA FE AV
1,1902,A,PACIFIC COAST HWY_2ND ST
1,757,A,7TH ST_OBISPO AV
1,1820,A,PACIFIC COAST HWY_PACIFIC AV
2,2237,A,7TH ST_REDONDO AV
2,1249,A,2ND ST_MARINA DR
2,1650,A,LAKEWOOD BL_WILLOW ST
3,1257,C,7TH ST_PARK AV
3,1440,A,WARDLOW RD_PACIFIC PL
3,1248,A,ANAHEIM ST_ALAMITOS AV
5,1810,A,ATLANTIC AV_WILLOW ST
5,841,B,PALO VERDE AV_STEARNS ST
7,1749,A,7TH ST_CHERRY AV
1,1000,A,7TH ST_PARK AV
1,1143,A,PACIFIC AV_WILLOW ST
1,2255,A,6TH ST_ATLANTIC AV
1,2209,A,2ND ST_MARINA DR
1,1547,A,ANAHEIM ST_MAGNOLIA AV
1,1310,A,REDONDO AV_ANAHEIM ST
2,1540,A,OCEAN BL_LINDEN AV
2,949,A,PACIFIC COAST HWY_7TH ST
3,1040,A,PACIFIC COAST HWY_STUDEBAKER RD
3,2005,A,7TH ST_TERMINO AV
3,2145,A,REDONDO AV_ANAHEIM ST
3,1819,A,PACIFIC COAST HWY_PINE AV
4,839,A,LONG BEACH BL_SPRING ST
4,1700,A,LONG BEACH BL_SPRING ST
6,646,A,PACIFIC AV_PACIFIC COAST HWY
6,1333,A,WILLOW ST_PACIFIC AV
6,1842,A,LONG BEACH BL_SPRING ST
6,22,A,7TH ST_XIMENO AV
6,2148,B,PACIFIC COAST HWY_TERMINO AV
7,1545,A,7TH ST_CHANNEL DR
7,1208,B,7TH ST_ATLANTIC AV
1,1415,A,PACIFIC COAST HWY_WALNUT AV
1,1220,A,7TH ST_PACIFIC COAST HWY
2,1947,A,7TH ST_PARK AV
2,1342,A,PACIFIC COAST HWY_SANTA FE AV
3,1231,A,WILLOW ST_LONG BEACH BL
3,2312,A,ATLANTIC AV_SPRING ST
3,2156,A,PACIFIC COAST HWY_ATLANTIC AV
4,1237,A,ANAHEIM ST_CHERRY AV
4,1435,A,7TH ST_BELLFLOWER BL
4,1615,A,7TH ST_PARK AV
5,2104,A,ANAHEIM ST_LONG BEACH BL
5,2213,A,DEL AMO BL_CHERRY AV
5,1730,A,PACIFIC COAST HWY_PINE AV
5,1208,A,PACIFIC COAST HWY_ANAHEIM ST
6,1840,A,DEL AMO BL_LONG BEACH BL
6,2319,A,REDONDO AV_ANAHEIM ST
6,2038,A,PARAMOUNT BL_SOUTH ST
7,130,A,WILLOW ST_PACIFIC AV
1,1438,A,BELLFLOWER BL_LOS COYOTES DIAGONAL
1,1430,A,CHERRY AV_WARDLOW RD
2,1530,A,BELLFLOWER BL_ANAHEIM RD
3,1330,A,REDONDO AV_ANAHEIM ST
5,1223,A,PACIFIC COAST HWY_PACIFIC AV
5,852,A,PACIFIC COAST HWY_ANAHEIM ST
5,1638,A,7TH ST_PACIFIC COAST HWY
7,339,C,PACIFIC COAST HWY_CHERRY AV
7,2220,-,PACIFIC COAST HWY_2ND ST
1,1951,A,7TH ST_CHERRY AV
2,1005,A,PACIFIC COAST HWY_7TH ST
2,2152,A,LONG BEACH BL_10TH ST
2,1255,A,BROADWAY_CHERRY AV
3,1716,A,LONG BEACH BL_SPRING ST
4,2300,A,PACIFIC AV_PACIFIC COAST HWY
5,1200,A,7TH ST_CHANNEL DR
6,2103,A,PACIFIC COAST HWY_2ND ST
6,2103,A,PACIFIC COAST HWY_2ND ST
6,954,A,PACIFIC COAST HWY_ATLANTIC AV
2,835,A,OCEAN BL_MAGNOLIA AV
2,1530,A,PACIFIC COAST HWY_JUNIPERO AV
3,1531,A,7TH ST_CHANNEL DR
4,2000,A,CHERRY AV_10TH ST
4,1627,A,7TH ST_CHANNEL DR
4,737,A,REDONDO AV_7TH ST
4,1616,A,ANAHEIM ST_LONG BEACH BL
4,1247,A,PACIFIC COAST HWY_LONG BEACH BL
4,1518,A,PACIFIC COAST HWY_CHERRY AV
5,145,A,7TH ST_BELLFLOWER BL
5,1309,A,PALO VERDE AV_WOODRUFF AV
5,1300,A,DEL AMO BL_LONG BEACH BL
6,1847,A,PACIFIC COAST HWY_7TH ST
6,858,A,PACIFIC COAST HWY_CEDAR AV
7,848,A,ANAHEIM ST_MAGNOLIA AV
7,2030,A,PACIFIC COAST HWY_ATLANTIC AV
1,704,A,7TH ST_PARK AV
1,1850,A,ANAHEIM ST_OREGON AV
1,740,A,WILLOW ST_PACIFIC AV
1,1725,A,PACIFIC COAST HWY_SANTA FE AV
3,1643,A,SPRING ST_PALO VERDE AV
3,2130,A,ANAHEIM ST_WALNUT AV
3,1522,A,PALO VERDE AV_STEARNS ST
1,1050,A,LAKEWOOD BL_WILLOW ST
1,1544,A,ANAHEIM ST_ALAMITOS AV
2,2033,A,PACIFIC COAST HWY_CHERRY AV
2,1735,A,2ND ST_MARINA DR
2,1920,A,OCEAN BL_MAGNOLIA AV
4,1710,A,ATLANTIC AV_MARKET ST
4,1309,A,7TH ST_ORANGE AV
4,1558,A,PACIFIC COAST HWY_PACIFIC AV
5,1752,-,ATLANTIC AV_HARDING ST
7,1416,A,PALO VERDE AV_STEARNS ST
1,1300,A,7TH ST_WALNUT AV
1,53,A,PALO VERDE AV_WOODRUFF AV
2,1810,A,PACIFIC AV_WILLOW ST
3,1956,A,7TH ST_PACIFIC COAST HWY
4,1904,A,ANAHEIM ST_TEMPLE AV
4,603,A,PACIFIC COAST HWY_CHERRY AV
5,1303,B,PACIFIC COAST HWY_MAGNOLIA AV
5,820,B,REDONDO AV_ANAHEIM ST
5,1543,A,7TH ST_CHANNEL DR
5,1834,A,7TH ST_PARK AV
6,920,A,STUDEBAKER RD_WILLOW ST
7,625,A,7TH ST_REDONDO AV
1,1623,A,WILLOW ST_LONG BEACH BL
2,1950,A,PACIFIC COAST HWY_PINE AV
3,1415,A,7TH ST_XIMENO AV
5,1500,A,7TH ST_BELLFLOWER BL
6,1350,A,CHERRY AV_10TH ST
6,1245,A,PACIFIC COAST HWY_JUNIPERO AV
7,1600,A,PACIFIC COAST HWY_2ND ST
7,1331,A,BELLFLOWER BL_ANAHEIM RD
7,1034,B,7TH ST_PARK AV
1,1725,A,PACIFIC COAST HWY_OBISPO AV
1,1730,A,7TH ST_PARK AV
1,1658,A,7TH ST_BELLFLOWER BL
1,1530,A,CHERRY AV_PACIFIC COAST HWY
2,2207,A,ANAHEIM ST_REDONDO AV
2,932,A,ANAHEIM ST_REDONDO AV
2,1045,A,7TH ST_OLIVE AV
2,915,A,PACIFIC COAST HWY_TERMINO AV
3,1130,A,WILLOW ST_PACIFIC AV
3,1125,A,TRAFFIC CIR_PACIFIC COAST HWY
3,1918,A,7TH ST_CHERRY AV
4,1816,A,PACIFIC COAST HWY_LONG BEACH BL
5,128,A,PACIFIC COAST HWY_PACIFIC AV
5,1655,A,ATLANTIC AV_10TH ST
5,1151,A,LONG BEACH BL_ANAHEIM ST
5,111,A,PACIFIC COAST HWY_PACIFIC AV
6,1137,A,7TH ST_ORANGE AV
6,354,B,ANAHEIM ST_TEMPLE AV
7,1618,A,ANAHEIM ST_ATLANTIC AV
7,1636,A,PACIFIC COAST HWY_LONG BEACH BL
7,2120,A,7TH ST_OLIVE AV
7,1330,A,STUDEBAKER RD_WILLOW ST
2,1650,A,ANAHEIM ST_CHERRY AV
3,1510,A,CHERRY AV_PACIFIC COAST HWY
4,1425,A,PALO VERDE AV_STEARNS ST
6,1218,A,ATLANTIC AV_HARDING ST
7,25,A,PACIFIC COAST HWY_CHERRY AV
1,747,A,ATLANTIC AV_MARKET ST
2,2014,A,REDONDO AV_ANAHEIM ST
2,750,A,REDONDO AV_ANAHEIM ST
4,2130,A,7TH ST_PACIFIC COAST HWY
5,1033,A,OCEAN BL_PINE AV
6,1450,A,LAKEWOOD BL_SPRING ST
6,1125,A,DEL AMO BL_LONG BEACH BL
7,1014,B,PACIFIC COAST HWY_MAGNOLIA AV
7,2250,A,PACIFIC COAST HWY_MAGNOLIA AV
7,58,A,PACIFIC COAST HWY_WALNUT AV
7,634,A,ANAHEIM ST_ALAMITOS AV
1,1822,A,BELLFLOWER BL_LOS COYOTES DIAGONAL
1,1451,A,ATLANTIC AV_SOUTH ST
2,1445,A,ANAHEIM ST_WALNUT AV
4,914,A,WARDLOW RD_PACIFIC PL
4,1340,A,PALO VERDE AV_STEARNS ST
5,1315,A,LONG BEACH BL_WARDLOW RD
6,1320,A,LAKEWOOD BL_OUTER TRAFFIC CIR
6,1021,B,7TH ST_ATLANTIC AV
1,230,A,BELLFLOWER BL_LOS COYOTES DIAGONAL
1,1728,A,7TH ST_CHANNEL DR
3,1315,A,CHERRY AV_WARDLOW RD
4,616,B,WARDLOW RD_PACIFIC PL
4,1346,A,PACIFIC COAST HWY_HARBOR AV
5,1405,A,PACIFIC COAST HWY_LONG BEACH BL
5,1451,A,PACIFIC COAST HWY_WALNUT AV
5,1211,A,PACIFIC COAST HWY_LONG BEACH BL
6,2045,A,PACIFIC COAST HWY_LONG BEACH BL
6,1130,A,PACIFIC COAST HWY_CHERRY AV
6,946,A,ANAHEIM ST_OBISPO AV
1,1000,A,LONG BEACH BL_ANAHEIM ST
1,1512,A,PACIFIC COAST HWY_JUNIPERO AV
4,1907,A,PACIFIC COAST HWY_TERMINO AV
7,1330,A,PACIFIC COAST HWY_LONG BEACH BL
2,2240,A,7TH ST_REDONDO AV
2,1632,A,WILLOW ST_LONG BEACH BL
3,1056,A,PACIFIC COAST HWY_OBISPO AV
3,1223,A,6TH ST_ATLANTIC AV
4,1905,A,7TH ST_CHERRY AV
4,1256,A,WILLOW ST_ATLANTIC AV
4,1050,B,7TH ST_OBISPO AV
4,1330,A,LONG BEACH BL_ANAHEIM ST
4,725,A,TRAFFIC CIR_PACIFIC COAST HWY
5,355,A,7TH ST_BELLFLOWER BL
5,1038,A,LONG BEACH BL_MARKET ST
5,1857,A,LONG BEACH BL_PACIFIC COAST HWY
6,830,B,7TH ST_OLIVE AV
6,1505,A,LAKEWOOD BL_SPRING ST
1,550,B,PACIFIC COAST HWY_TERMINO AV
1,1530,A,WILLOW ST_ATLANTIC AV
2,1253,A,LONG BEACH BL_10TH ST
2,1653,A,WARDLOW RD_PACIFIC PL
3,1445,A,LAKEWOOD BL_WILLOW ST
4,1100,A,LAKEWOOD BL_SPRING ST
4,2249,A,BROADWAY_CHERRY
6,205,A,BELLFLOWER BL_ANAHEIM RD
7,2030,A,LONG BEACH BL_PACIFIC COAST HWY
7,2122,A,CHERRY AV_WARDLOW RD
7,1735,A,7TH ST_ATLANTIC AV
1,1556,A,WILLOW ST_EASY AV
1,1950,A,LONG BEACH BL_ANAHEIM ST
2,932,A,PACIFIC COAST HWY_STUDEBAKER RD
3,1200,A,ATLANTIC AV_WARDLOW RD
3,1926,A,PACIFIC COAST HWY_PACIFIC AV
6,1853,A,WILLOW ST_PACIFIC AV
6,1948,A,PACIFIC COAST HWY_2ND ST
7,1027,A,OCEAN BL_PINE AV
1,1911,A,ANAHEIM ST_ORANGE AV
2,1706,A,PACIFIC COAST HWY_LONG BEACH BL
2,1436,A,7TH ST_REDONDO AV
3,655,A,7TH ST_ATLANTIC AV
4,154,B,CHERRY AV_WARDLOW RD
4,1446,A,ANAHEIM ST_LONG BEACH BL
4,1530,A,ATLANTIC AV_WILLOW ST
6,46,A,7TH ST_CHANNEL DR
6,156,A,SANTA FE AV_WILLOW ST
6,1845,A,7TH ST_ORANGE AV
1,1320,A,ATLANTIC AV_WARDLOW RD
1,1145,A,CHERRY AV_PACIFIC COAST HWY
1,1300,A,7TH ST_TERMINO AV
1,1800,A,PACIFIC COAST HWY_OBISPO AV
2,1700,A,WILLOW ST_EASY AV
3,1502,A,7TH ST_ATLANTIC AV
3,1718,A,PACIFIC COAST HWY_ORANGE AV
4,1731,A,PACIFIC COAST HWY_ATLANTIC AV
5,2144,A,PACIFIC AV_WILLOW ST
6,1520,A,6TH ST_ATLANTIC AV
7,1245,A,LONG BEACH BL_ANAHEIM ST
7,1403,A,ATLANTIC AV_HARDING ST
1,1228,A,PACIFIC COAST HWY_MAGNOLIA AV
1,1349,A,ATLANTIC AV_10TH ST
2,1506,A,7TH ST_XIMENO AV
3,1540,A,PACIFIC COAST HWY_STUDEBAKER RD
4,1357,A,PACIFIC COAST HWY_CHERRY AV
4,1946,A,7TH ST_PACIFIC COAST HWY
4,1744,A,7TH ST_PARK AV
6,634,E,LONG BEACH BL_WILLOW ST
1,850,A,PACIFIC COAST HWY_WALNUT AV
1,2145,A,ANAHEIM ST_MAGNOLIA AV
2,1915,A,ORANGE AV_PACIFIC COAST HWY
2,1640,A,ATLANTIC AV_WILLOW ST
2,816,B,PALO VERDE AV_WOODRUFF AV
3,1117,A,SANTA FE AV_WILLOW ST
3,340,E,PACIFIC COAST HWY_LEMON AV
3,1515,A,PACIFIC COAST HWY_HARBOR AV
3,1730,A,PACIFIC COAST HWY_PINE AV
3,1812,A,PACIFIC COAST HWY_OBISPO AV
4,1130,A,LAKEWOOD BL_SPRING ST
5,2106,A,PACIFIC COAST HWY_PINE AV
5,2148,A,ANAHEIM ST_LONG BEACH BL
6,1200,B,ATLANTIC AV_WILLOW ST
6,2357,B,PACIFIC COAST HWY_LONG BEACH BL
6,1909,A,PACIFIC COAST HWY_STUDEBAKER RD
6,2010,B,7TH ST_CHANNEL DR
7,1,C,LONG BEACH BL_PACIFIC COAST HWY
1,726,B,ATLANTIC AV_SOUTH ST
1,1657,A,PACIFIC AV_WILLOW ST
1,923,A,DEL AMO BL_LONG BEACH BL
2,1007,B,7TH ST_OLIVE AV
2,810,B,PACIFIC COAST HWY_2ND ST
2,1600,B,PACIFIC COAST HWY_ATLANTIC AV
3,1715,A,ANAHEIM ST_OBISPO AV
3,1302,A,PACIFIC COAST HWY_CHERRY AV
4,1813,A,7TH ST_REDONDO AV
4,752,A,PACIFIC COAST HWY_SANTA FE AV
4,1924,A,7TH ST_CHANNEL DR
4,1700,A,STUDEBAKER RD_WILLOW ST
4,2105,A,7TH ST_BELLFLOWER BL
4,1120,A,7TH ST_ATLANTIC AV
4,1300,A,PACIFIC COAST HWY_ORANGE AV
5,156,-,7TH ST_TERMINO AV
5,2034,A,7TH ST_PACIFIC COAST HWY
7,1411,A,7TH ST_LONG BEACH BL
1,1045,A,7TH ST_XIMENO AV
1,2132,A,LONG BEACH BL_20TH ST
3,1716,A,CHERRY AV_SOUTH ST
4,2200,A,PACIFIC COAST HWY_SANTA FE AV
4,1615,A,ANAHEIM ST_OREGON AV
4,2130,A,STUDEBAKER RD_WILLOW ST
4,1818,A,BROADWAY_CHERRY
5,930,A,PACIFIC COAST HWY_TERMINO AV
6,2110,A,WARDLOW RD_PACIFIC PL
6,1325,A,7TH ST_ATLANTIC AV
3,915,B,ANAHEIM ST_CHERRY AV
3,803,A,LAKEWOOD BL_OUTER TRAFFIC CIR
4,1405,A,7TH ST_PACIFIC COAST HWY
4,925,A,7TH ST_ATLANTIC AV
4,1030,A,PACIFIC COAST HWY_ANAHEIM ST
4,741,A,PACIFIC COAST HWY_WALNUT AV
4,736,A,7TH ST_TERMINO AV
5,822,B,STUDEBAKER RD_WILLOW ST
6,1406,A,7TH ST_REDONDO AV
7,2238,A,LONG BEACH BL_SPRING ST
1,123,A,ANAHEIM ST_MAGNOLIA AV
2,1516,B,7TH ST_CHANNEL DR
2,2120,A,PACIFIC COAST HWY_ATLANTIC AV
2,810,B,PACIFIC COAST HWY_HARBOR AV
2,1605,A,DEL AMO BL_LONG BEACH BL
3,1950,A,7TH ST_LONG BEACH BL
4,1328,A,7TH ST_PARK AV
4,1548,A,LONG BEACH BL_MARKET ST
5,1535,A,PARAMOUNT BL_SOUTH ST
